TAC,manufacturer,model,aka,os,year,lte
86854901,Shenzhen Zhengtong Kingsee,TakePay KS2200,,Android,2012,0
86855000,Zte Corporation,ZTE ZTE,ZTE ZTE-U  T203,Proprietary,,0
86855001,Shenzhen Shengqiantong Technology,SANCHIN SANCHIN I9300,,Android,2012,0
86855100,Shenzhen New Fiying,FLYYING IHD308,,Proprietary,,0
86855101,Putian Dexin Electronic,ET ET A19,,Android,2012,0
86855200,Shenzhen Lt Mobile,LAMTAM LT X308,,Proprietary,,0
86855201,Shenzhen Blue Broadcom,BYFFY BYFFY,BYFFY BYFFY-B800,Android,2012,0
86855300,Xing Chuang Wei,xingchuang N6,,Proprietary,,0
86855301,Shenzhen Blue Broadcom,BUFFY BUFFY,BUFFY BUFFY-L200,Android,2012,0
86855400,Shenzhen Vita Electronic,vita VT,vita VT-V705,Proprietary,,0
86855401,Shenzhen Youmo Technology,UMO UMO T9300,,Android,2012,0
86855500,Shenzhen Hongjia Yuan,Hongjia Yuan,,Proprietary,,0
86855501,Huawei,HUAWEI E5172s,HUAWEI E5172s-22,Android,2012,1
86855600,Shenzhen Sins Industrial,sins A86,,Proprietary,,0
86855601,Huawei,HUAWEI HUAWEI U8825D Pro,,Android,2012,0
86855700,Shenzhen Sins Industrial,sins S108,,Proprietary,,0
86855701,Fujian Ruitel Information,Ruitel 5110,,Android,2012,0
86855800,Shenzhen Top Technology,HOOW W5000,,Proprietary,,0
86855801,Guangdong Simdo Technology,simdo simdo D920,,Android,2012,0
86855900,Shenzhen Sunup Communication,HC118,,Proprietary,,0
86855901,Fujian Ruitel Information,Ruitel 5711,,Android,2012,0
86856000,Shenzhen Jugate Communication,Jugate S10,,Proprietary,,0
86856001,Zte Corporation,ZTE Coral238,,Proprietary,2012,0
86856100,Shenzhen Jugate Communication,JH6661,,Proprietary,,0
86856101,Hunan Zhongyi Electronics,zhongyi S080,,Android,2012,0
86856200,Ucom Communication Equipment,UKING UKING S990,,Proprietary,,0
86856201,Hunan Zhongyi Electronics,zhongyi S081,,Android,2012,0
86856300,Shenzhen Yiheyuan Technology,YIHEYUAN C206,,Proprietary,,0
86856301,Shenzhen Wei Cool,COLMEI COLMEI E55,,Android,2012,0
86856400,Hebei Aole Technology,AOLE AOLE A515,,Proprietary,,0
86856401,Shenzhen New Di,lingwin U950,,Android,2012,0
86856500,Shenzhen Sanmeng Communications,SANMENG S108,,Proprietary,,0
86856501,Shenzhen City Motian,MOTIN MOTIN A7,,Android,2012,0
86856600,Shenzhen Blephone Technology,LEPHONE W500,,Proprietary,,0
86856601,Shenzhen Blephone Technology,lephone k008,,Android,2012,0
86856700,Shenzhen Kenxinda Technology,D68,,Proprietary,,0
86856701,Shenzhen Gstar Telecommunication,iGstar iG869,,Android,2012,0
86856800,Shenzhen City Shakes,ViKO ViKO 5078,,Proprietary,,0
86856801,Shenzhen Blephone Technology,lephone K005,,Android,2012,0
86856900,Tecno Technologyshenzhenco Ltd,ITEL IT2690,,Proprietary,,0
86856901,Zte Corporation,ZTE ZTE S226+,,Proprietary,2012,0
86857000,Shenzhen Tinno Mobile,TINNO TW10,,Proprietary,,0
86857001,Shenzhen Kinoda Technology,jeed E9220,,Android,2012,0
86857100,Jiangsu Rayhov Electronics,Rayhov Rayhov X3,,Proprietary,,0
86857101,Shenzhen Kenxinda Technology,KENXINDA Z818,,Android,2012,0
86857200,Shenzhen Blephone Technology,LESUN B1,,Proprietary,,0
86857201,Shenzhen Kenxinda Technology,KENXINDA Z868,,Android,2012,0
86857300,Shenzhen Vita Electronic,vita VT,vita VT-A501,Proprietary,,0
86857301,Eastern Communications Co,eastcom DX2618,,Android,2012,0
86857400,Shenzhen Trustcom Technology,P400,,Proprietary,,0
86857401,Zte Corporation,ZTE ZTE Kis Lite,,Proprietary,2012,0
86857500,Shenzhen Imoen Da,HODOO M801,,Proprietary,,0
86857501,Beijing Tianyu Communication,K,K-Touch K-Touch E8,Android,2012,0
86857600,Shenzhen Blephone Technology,lephone K1209,,Proprietary,,0
86857601,Shenzhen Shikim Tery,KIMTERY CK36,,Android,2012,0
86857700,Shenzhen Sins Industrial,sins A89,,Proprietary,,0
86857701,Finmek Electronic (Shenzhen),MFU F1,,Android,2012,0
86857800,Tclmobile Communication Co,TCL TCL E60,,Proprietary,,0
86857801,Shenzhen Konka Telecommunications,KONKA KangJia T621D,,Android,2012,0
86857900,Shenzhen Technology Co,SAMKIMOKE SAMKIMOKE T710,,Proprietary,,0
86857901,Shenzhen Konka Telecommunications,KONKA KangJia W221,,Android,2012,0
86858000,Zte Corporation,Roamer,,Proprietary,,0
86858001,Gionee Communication Equipment,GiONEE Jinli GN705,,Android,2012,0
86858100,Sichuan Changhong Electric,Changhong ChanghongX6,,Proprietary,,0
86858101,Gionee Communication Equipment,GiONEE Jinli GN138,,Android,2012,0
86858200,Shenzhen Blephone Technology,LESUN D1,,Proprietary,,0
86858201,Lenovo Mobile Communication,Lenovo Lenovo A630t,,Android,2012,0
86858300,Shenzhen Novol Digital,SAGA SAGA 11,,Proprietary,,0
86858301,Lenovo Mobile Communication,Lenovo Lenovo A765e,,Android,2012,0
86858400,Shenzhen Blephone Technology,lephone C2,,Proprietary,,0
86858401,Shenzhen Pole Technology,SAM,SAM-G 7562,Android,2012,0
86858500,Shenzhen Mastercard Telecommunicati,SHIDA SD777,,Proprietary,,0
86858501,Shenzhen Yi Pai,epade epade MC001,,Android,2012,0
86858600,Shenzhen Sins Industrial,sins A85,,Proprietary,,0
86858601,Shenzhen Sang Fei,PHILIPS Philips W8350,,Android,2012,0
86858700,Huawei,F560,,Proprietary,,0
86858701,Shenzhen Great Technology,GREAT GREAT W55,,Android,2012,0
86858800,Guizhou Zhenhua Moint,moint MT,moint MT-K8001,Proprietary,,0
86858801,Waljection Technology (Shenzhen),lafone lafone S59,,Android,2012,0
86858900,Zhongshan Guoxintong Science,SICT S66,,Proprietary,,0
86858901,Shenzhen Tinno Mobile,TINNO B1071A,,Android,2012,0
86859000,Shenzhen Comoo Communication,C808,,Proprietary,,0
86859001,Ningbo Bird Co,BIRD BIRD W9300,,Android,2012,0
86859100,Fujian Ruitel Information,Ruitel 9100,,Proprietary,,0
86859101,Ningbo Bird Co,BIRD BIRD B101,,Android,2012,0
86859200,Fujian Ruitel Information,Ruitel 9200,,Proprietary,,0
86859201,Desay Electronics (Huizhou),DESAY DESAY T100,,Android,2012,0
86859300,Gfive International,GFIVE C1,,Proprietary,,0
86859301,Tsd Technologies (Shenzhen),TSD A8898,,Android,2012,0
86859400,Shenzhen Opsson Technology,OPSSON OPSSON U68,,Proprietary,,0
86859401,Shenzhen Noal Technology,noal F7000,,Android,2012,0
86859500,Shenzhen Dimei Communications,M523,,Proprietary,,0
86859501,Shenzhen Bifer Communication,Bifer BF C5,,Android,2012,0
86859600,Shenzhen Dimei Communications,DIM M526,,Proprietary,,0
86859601,Huizhou Qiaoxing Telecommunication,YAMI YAMI Y9300,,Android,2012,0
86859700,Huawei,F561,,Proprietary,,0
86859701,Qingbangelec (Sz) Co,3GNET 3GNET U1,,Android,2012,0
86859800,Jixiangjia Group Co,TiGi TG908,,Proprietary,,0
86859801,Dalian Daxian Pantech,DAXIAN CR888,,Android,2012,0
86859901,Tsd Technologies (Shenzhen),TSD A001,,Android,2012,0
86860000,Shenzhen Technology Co,XINAI C918,,Proprietary,,0
86860001,Tsd Technologies (Shenzhen),TSD A002,,Android,2012,0
86860100,Shenzhen Telsda Mobile,Gsm mobile phone number of businesses,,Proprietary,,0
86860101,Shenzhen Poulo Communication,poulo P108,,Android,2012,0
86860200,Shenzhen Sunup Communication,D800,,Proprietary,,0
86860201,Shenzhen Poulo Communication,Poulo L336,,Android,2012,0
86860300,Huizhou City Jiayuan,cayon cayon S2580,,Proprietary,,0
86860301,Shenzhen Poulo Communication,Poulo L338,,Android,2012,0
86860400,Tct Mobile Limited,ALCATEL one touch X520E,,Proprietary,,0
86860401,Shenzhen Lanboxing Technology,laaboo L8303,,Android,2012,0
86860500,Shenzhen Elitek Communication,elitek V688,,Proprietary,,0
86860501,Shenzhen Lanboxing Technology,laaboo L18,,Android,2012,0
86860600,Amgoo Telecom Co,AMGOO AM85,,Proprietary,,0
86860601,Shenzhen Dung Beetle,JINGUIZI EBEN T6,,Android,2012,0
86860700,T-Smart Communications Equipment,T,T-smart T-smart T18,Proprietary,,0
86860701,Shenzhen Xing Bao,XIBO XIBO X20,,Android,2012,0
86860800,Zte Corporation,ZTE ZTE,ZTE ZTE-G S511,Proprietary,,0
86860801,Zte Corporation,ZTE R55,,Proprietary,2012,0
86860900,Shenzhen Leno Technology,telego x1,,Proprietary,,0
86860901,Shenzhen M-Horse Technology,BML 200,,Android,2012,0
86861000,Zte Corporation,T3,,Proprietary,,0
86861001,Shenzhen M-Horse Technology,BML 2510,,Android,2012,0
86861100,Shenzhen Telsda Mobile,T580,,Proprietary,,0
86861101,Shenzhen M-Horse Technology,M,M-HORSE 2510,Android,2012,0
86861200,Shenzhen Ketai Communication,SUNKING SK58,,Proprietary,,0
86861201,Shenzhen M-Horse Technology,M,M-HORSE T421,Android,2012,0
86861300,Huizhou City Jiayuan,cayon cayon H1199,,Proprietary,,0
86861301,Shenzhen Vell-Com Technology,VELL,VELL-COM X2-01,Android,2012,0
86861400,Huawei,T7500,,Proprietary,,0
86861401,Shenzhen Vell-Com Technology,JFONE X2,JFONE X2-01,Android,2012,0
86861500,Huizhou City Jiayuan,cayon cayon A58,,Proprietary,,0
86861501,Shenzhen Vell-Com Technology,VELL,VELL-COM X2-02,Android,2012,0
86861600,Zte Corporation,R230,,Proprietary,,0
86861601,Shenzhen Vell-Com Technology,VELL,VELL-COM V135,Android,2012,0
86861700,Shenzhen Vita Electronic,VITA VT,VITA VT-i306,Proprietary,,0
86861701,Shenzhen Telsda Mobile,TELSDA T556,,Android,2012,0
86861800,Shenzhen Opsson Technology,OPSSON OPSSON Wi,OPSSON OPSSON Wi-16,Proprietary,,0
86861801,Shenzhen Telsda Mobile,TELSDA T9910,,Android,2012,0
86861900,Shenzhen Kong Profit,KPT KPT KB556,,Proprietary,,0
86861901,Shenzhen Ectel Science,SAST SAST LT11i,,Android,2012,0
86862000,Shenzhen Bai-Sheng Feng,Beswin F621,,Proprietary,,0
86862001,Shenzhen City Shakes,ViKO ViKO V88,,Android,2012,0
86862100,Amgoo Telecom Co,AMGOO AM83,,Proprietary,,0
86862101,Shanghai Ebest Communication,EBEST EBEST V78,,Android,2012,0
86862200,Shenzhen Sunup Communication,AQ333,,Proprietary,,0
86862201,Shenzhen Newway Digital,newish newish T600,,Android,2012,0
86862300,Huizhou City Jiayuan,cayon cayon H2290,,Proprietary,,0
86862301,Shenzhen Tinno Mobile,TINNO S8073B,,Android,2012,0
86862400,Huawei,T7100,,Proprietary,,0
86862401,Huawei,HUAWEI HUAWEI W1,HUAWEI HUAWEI W1-U00,Android,2012,0
86862500,Jiangsu Rayhov Electronics,Royhov Rayhov X3,,Proprietary,,0
86862501,Shenzhen Aiguo Digital,IGUO i9330,,Android,2012,0
86862600,Hefei Royalstar Mobil,royalstar RSD,royalstar RSD-R500,Proprietary,,0
86862601,Shenzhen Biku Era,Coobe Coobe X901,,Android,2012,0
86862700,Tongxin Technology Hong,GBEST M13,,Proprietary,,0
86862701,Shenzhen Biku Era,Coobe Coobe X905,,Android,2012,0
86862800,Gfive International,GFIVE E680,,Proprietary,,0
86862801,Shenzhen Noain High,NOAIN NOAIN A909,,Android,2012,0
86862900,Byd,Delta S600,,Proprietary,,0
86862901,Shenzhen Konka Telecommunications,KONKA KangJia E830,,Android,2012,0
86863000,Shenzhen Pulid Communication,D169,,Proprietary,,0
86863001,Shenzhen Opsson Technology,OPSSON OPSSON iMO 920,,Android,2012,0
86863100,Amgoo Telecom Co,AMGOO AM80,,Proprietary,,0
86863101,Shenzhen Yingmai Communication,IMG IMG M7,,Android,2012,0
86863200,Shenzhen Sunup Communication,LQ118,,Proprietary,,0
86863201,Yulong Computer Telecommunication,Coolpad Coolpad 8077,,Android,2012,0
86863300,Huizhou City Jiayuan,cayon cayon H2200,,Proprietary,,0
86863301,Shenzhen Kinoda Technology,jeed E898+,,Android,2012,0
86863400,Huawei,T7320,,Proprietary,,0
86863401,Shenzhen Blephone Technology,lephone X1,,Android,2012,0
86863500,Shenzhen City Motian,Motian Motian M618,,Proprietary,,0
86863501,Beijing Tianyu Communication,K,K-Touch K-Touch U83t,Android,2012,0
86863600,Huawei,E352,,Proprietary,,0
86863601,Chi Technology Co,SANNAING I93,,Android,2012,0
86863700,Shenzhen Vita Electronic,VITA VT,VITA VT-A509,Proprietary,,0
86863701,Beijing Tianyu Communication,K,K-Touch K-Touch T6,Android,2012,0
86863800,Shenzhen Kong Profit,KPT KW788,,Proprietary,,0
86863801,Ningbo Bird Co,DOEASY DOEASY,DOEASY DOEASY-E80,Android,2012,0
